"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,117377122,7,2000,,128458389
2019,123838848,16,15,,137345895
2019,123842878,52,0,,137347896
2019,123842883,13,700,,137352979
2019,123842883,25,120,,137347900
2019,117386586,15,12000,,128456378
2019,123842883,63,200,,137347901
2019,117375681,17,100,,128450562
2019,117375681,7,300,,128446806
2019,117380318,42,2171,,128454327
2019,117380329,10,,,128446971
2019,117385031,10,,,128446978
2019,117380346,51,,,128446986
2019,117380353,10,,,128446989
2019,117380353,11,1,,128446990
2019,117375798,10,,,128447070
2019,117375810,20,100,,128450717
2019,117385146,3,20000,,128447102
2019,117385146,20,1000,,128454496
2019,117375825,3,20000,26-APR-19,128450734
2019,117375842,8,120,,128450755
2019,117375847,19,80,,128450762
2019,117380479,16,500,,128447135
2019,117375862,63,1,,128450784
2019,117385187,62,700,08-AUG-19,128450799
2019,117385186,62,700,,128454539
2019,117375878,19,1500,,128454544
2019,117380505,20,3,,128447158
2019,117380513,52,0,,128447174
2019,117375910,13,400,,128447186
2019,117380524,36,80,,128447187
2019,117380541,17,93,,128450865
2019,117380541,25,12,,128450863
2019,117375937,8,67,23-MAR-19,128450872
2019,117380541,8,67,,128450866
2019,117375937,25,12,23-MAR-19,128450868
2019,117375937,17,93,23-MAR-19,128450871
2019,117380541,2,3,,128450864
2019,117375937,2,3,23-MAR-19,128450870
2019,117380548,64,829,,128454605
2019,117375968,62,200,,128454627
2019,117385252,24,800,,128447229
2019,117380575,10,,,128447238
2019,117375993,36,350,,128447241
2019,117385266,36,318,,128447258
2019,117376024,4,200,,128450986
2019,117380695,8,2,,128457397
2019,117376259,9,0,,128454936
2019,117376259,52,0,,128454937
2019,117380758,63,40,,128451345
2019,117376305,25,100,,128451351
2019,117376323,61,500,,128451377
2019,117376346,3,1186,20-JUL-19,128451411
2019,117380780,63,1,,128457479
2019,117380786,29,1,,128451432
2019,117376367,63,104,,128457494
2019,117376366,63,104,24-JUN-19,128451438
2019,117380801,63,5000,,128457507
2019,117376378,63,1400,,128451449
2019,117376383,7,900,,128455111
2019,117376397,24,725,,128455140
2019,117385652,20,14164,,128455149
2019,117380854,63,200,,128457568
2019,117385703,13,326,,128455212
2019,117380857,52,0,,128457573
2019,117385714,26,500,,128455223
2019,117385714,6,2000,,128455224
2019,117385714,17,1150,,128451510
2019,117376453,63,40,,128451553
2019,117380950,61,50,,128455369
2019,117385880,63,4,20-JUL-19,128457700
2019,117385882,63,4,,128455411
2019,117385880,26,37,20-JUL-19,128457699
2019,117385882,26,37,,128455410
2019,117376472,10,200,,128455416
2019,117385894,3,25000,21-JUL-19,128455423
2019,117380988,6,1840,,128455427
2019,117376477,61,999,,128457718
2019,117385923,63,250,,128455452
2019,117385925,10,,,128451590
2019,117385928,29,200,,128451594
2019,117385928,3,2000,,128457729
2019,117385928,63,50,,128451595
2019,117385932,21,1,,128455466
2019,117381007,8,40,,128457740
2019,117376504,3,4000,,128457750
2019,117381020,20,11400,,128457752
2019,117381027,38,50,,128455486
2019,117381048,36,2900,,128457797
2019,117385986,23,1680,,128455534
2019,117385991,6,130,,128455538
2019,117385991,7,300,,128457804
2019,117385991,16,500,,128455539
2019,117385991,25,125,,128455537
2019,117385992,3,800,,128451661
2019,117386001,54,1,,128455549
2019,117386006,38,1500,,128455555
2019,117376547,7,400,,128451675
2019,117376547,23,130,,128451676
2019,117386013,7,400,25-JUL-19,128451674
2019,117386016,60,459,,128455566
2019,117381073,29,1,,128451689
2019,117386034,16,193,,128455582
2019,117376560,8,100,,128451701
2019,117386051,10,,,128457854
2019,117376582,3,10000,,128451727
2019,117376581,3,10000,19-JUN-19,128451726
2019,117386081,63,400,,128455630
2019,117386088,37,1000,,128455645
2019,117376601,7,400,,128455657
2019,117376601,63,,,128451756
2019,117376605,20,8500,,128457903
2019,117386102,10,,,128455668
2019,117376615,52,,,128451771
2019,117381141,8,40,,128457936
2019,117386122,61,400,27-JUL-19,128455692
2019,117376622,61,400,,128455693
2019,117386127,63,100,,128455704
2019,117386127,36,270,,128455706
2019,117386127,43,110,,128455705
2019,117386127,20,200,,128455703
2019,117386127,8,5,,128455702
2019,117386140,20,4000,,128451812
2019,123834055,25,1,,137337230
2019,117376644,42,700,,128455732
2019,123834055,51,0,,137345300
2019,117386159,6,38,,128457977
2019,117376654,6,38,26-JUL-19,128451835
2019,123834055,9,0,,137337228
2019,117386165,20,2000,,128455748
2019,123834055,20,200,,137337229
2019,117381186,56,6000,,128457987
2019,117381185,56,6000,26-JUN-19,128457986
2019,117381187,2,6,,128455771
2019,117376674,38,8,,128457996
2019,123834062,61,450,,137345309
2019,123842516,63,150,,137347421
2019,123842516,51,0,,137347420
2019,123842516,25,40,,137337259
2019,117381210,47,,,128458033
2019,117381210,20,400,,128458032
2019,117376700,3,15317,,128451904
2019,117376703,20,40,,128451907
2019,117376706,19,120,,128451911
2019,117376706,63,100,,128451912
2019,117376706,6,100,,128451910
2019,117376710,63,8,,128451917
2019,117386232,61,800,,128455848
2019,117376720,63,100,,128451926
2019,117381226,7,500,,128458054
