"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,4,121694883,0,1,13129527
2019,4,121691803,0,1,13124966
2019,12,121691803,0,1,13124965
2019,12,121692186,9.56,1,13125008
2019,4,121692476,1,9,13125042
2019,12,121687566,2,9,13129631
2019,12,121692684,6,1,13125067
2019,5,121692740,10,1,13125073
2019,4,121687657,1,1,13134281
2019,12,121687657,1,1,13134280
2019,2,121696281,2,1,13134288
2019,12,121696281,14,1,13129675
2019,5,121692922,1,1,13125087
2019,12,121693053,0.7,1,13125098
2019,12,121693124,4,1,13134311
2019,4,121693124,3,1,13134312
2019,4,121696566,0,1,13134313
2019,1,121696566,0,1,13125105
2019,12,121696678,18,1,13134327
2019,11,121693589,1,9,13125148
2019,12,121693589,5,8,13129758
2019,5,121693650,4,9,13134358
2019,12,121693827,1,9,13129773
2019,12,121693942,1,9,13125172
2019,12,121693949,1,9,13129788
2019,16,121693949,5,9,13125173
2019,12,121694120,2,1,13129801
2019,12,121694236,1,9,13125192
2019,12,121694288,2,1,13125203
2019,4,121699536,1,1,13134444
2019,12,121699536,1,1,13134443
2019,12,121709781,1,11,13129906
2019,4,121709781,1,11,13129907
2019,4,121701172,1,11,13125313
2019,4,121687972,68,1,13134321
2019,12,121696718,1,9,13134331
2019,4,121696718,1,9,13129712
2019,16,121693282,3,9,13129719
2019,12,121693315,0,1,13129723
2019,5,121693321,0,1,13125116
2019,12,121696852,1,1,13125118
2019,4,121693331,16.6,1,13129727
2019,8,121693331,10,9,13125119
2019,4,121693345,0.1,1,13125122
2019,2,121696909,6,1,13125123
2019,5,121693366,0,1,13125126
2019,16,121693384,0,1,13125128
2019,2,121693384,0,1,13125127
2019,2,121693386,0,1,13129736
2019,4,121696991,1,1,13125129
2019,16,121693412,5,9,13125130
2019,12,121693414,9,1,13125131
2019,5,121697050,30,9,13134342
2019,5,121697050,108,1,13129742
2019,4,121697095,6,1,13134344
2019,12,121697095,20,1,13125134
2019,12,121693479,2,1,13125136
2019,12,121697289,1,9,13134350
2019,13,121693569,1,9,13129757
2019,4,121688220,2,1,13134352
2019,5,121693596,1,9,13125149
2019,16,121688230,18,9,13134355
2019,2,121688230,1,9,13134356
2019,12,121697441,1,1,13129763
2019,12,121693739,1,1,13125160
2019,12,121693744,1,1,13125161
2019,4,121697863,5,1,13129781
2019,12,121697978,3,1,13129793
2019,10,121697978,35,9,13129794
2019,12,121698131,1,9,13125179
2019,12,121698193,1,1,13129802
2019,5,121688756,1,1,13134377
2019,4,121694224,1,11,13129811
2019,8,121694224,1,11,13129810
2019,5,121698387,15,1,13129819
2019,4,121694272,1,11,13129820
2019,4,121698512,1,9,13129836
2019,12,121698512,1,9,13125220
2019,12,121694426,1,9,13134394
2019,12,121698797,1,9,13129848
2019,4,121698951,0,1,13134399
2019,12,121699217,1,11,13129858
2019,12,121699901,1,9,13134411
2019,12,121699943,6,1,13129867
2019,4,121704640,1.4,1,13134423
2019,12,121699949,6,1,13125237
2019,12,121699422,1,1,13129884
2019,17,121700025,24,1,13125243
2019,4,121700025,11,1,13125242
2019,12,121700025,6,1,13125241
2019,2,121700027,3,9,13125244
2019,4,121700028,1,9,13129886
2019,4,121699502,1,9,13129889
2019,8,121700095,1,9,13125248
2019,12,121704892,1,11,13134445
2019,5,121700222,13,1,13125258
2019,12,121700222,6,1,13125257
2019,4,121700237,2,9,13134447
2019,4,121700288,129,1,13129896
2019,4,121700310,1,9,13125259
2019,12,121705048,0,9,13125262
2019,5,121700376,1,1,13125263
2019,4,121709701,1,11,13129901
2019,5,121709724,1,11,13129902
2019,8,121700457,15,9,13129903
2019,2,121705205,1,1,13125266
2019,5,121709822,4,1,13129910
2019,5,121700543,1,1,13134462
2019,5,121709856,1,1,13129912
2019,12,121700607,3,1,13129914
2019,12,121700656,1,9,13125274
2019,4,121709925,1,9,13129916
2019,12,121700689,1,1,13129917
2019,17,121700702,1,9,13125277
2019,16,121709989,1,1,13125281
2019,12,121710006,1,1,13129924
2019,12,121710095,1,1,13129929
2019,12,121700947,6,1,13125288
2019,5,121710195,1,1,13129940
2019,4,121710264,18,1,13134480
2019,12,121710264,25,1,13125309
2019,12,121705533,1,9,13134481
2019,12,121710288,4,1,13129954
2019,5,121705545,4,1,13134485
2019,12,121701198,1,11,13125314
2019,4,121701198,1,11,13125315
2019,15,121701268,6,9,13125322
2019,12,121710387,1,1,13129965
2019,2,121705686,28,1,13134494
2019,4,121705770,0,1,13125326
2019,12,121701624,1,1,13125340
2019,4,121706097,1,1,13134511
2019,17,121711023,18,1,13134525
2019,12,121701871,0.5,1,13125355
2019,12,121706386,1,1,13134534
2019,5,121701912,6,1,13125364
2019,12,121711176,1,1,13130014
2019,17,121706508,,,13134539
2019,12,121711329,2,1,13125377
2019,12,121702144,1,11,13125383
2019,4,121702144,1,11,13125384
2019,4,121706651,5,1,13130024
2019,4,121702218,4,1,13125390
2019,12,121702218,6,1,13130028
2019,12,121702230,11,1,13125393
2019,8,121711514,1,1,13130034
2019,12,121711514,1,8,13130033
2019,4,121711514,1,1,13130035
2019,12,121702292,0,1,13125401
2019,4,121702292,20,1,13125402
2019,12,121711547,5,1,13130040
2019,12,121702399,0,1,13125411
2019,12,121702419,2,1,13125412
2019,4,121702465,7,1,13125415
2019,2,121702465,15,1,13130047
2019,16,121702842,147,9,13125429
2019,4,121706986,1,1,13134558
2019,16,121702852,1,9,13130078
2019,4,121712342,1,1,13130081
2019,4,121702887,2.5,1,13125436
2019,12,121702941,4,1,13125441
2019,12,121702945,0,1,13125442
2019,17,121707129,2,9,13134574
2019,12,121707155,1,1,13125444
2019,5,121707169,1,11,13134576
2019,5,121712588,41,1,13130113
2019,12,121712645,3,1,13130117
2019,13,121703118,3,9,13125454
2019,12,121707372,3,1,13130140
2019,4,121683934,74,1,13134143
2019,12,121683934,117,1,13134144
2019,12,121686525,8,1,13124910
2019,12,121684538,2.72,1,13129493
2019,4,121684538,8.94,1,13129494
2019,16,121684538,11,9,13129495
2019,12,121692165,1,9,13125004
2019,8,121687320,1,1,13129585
2019,12,121692212,328.79,1,13125012
2019,4,121692212,567.66,1,13134236
2019,7,121692235,7,1,13129588
2019,4,121687588,1,1,13134269
2019,12,121689155,1,9,13129851
2019,12,121704710,1,1,13129883
2019,12,121705156,1,9,13134455
2019,4,121700506,1,1,13129908
2019,8,121709954,6,9,13129921
2019,5,121705394,15,1,13125290
2019,12,121710182,0,1,13129938
2019,4,121710231,1,9,13129948
2019,12,121710231,1,1,13129947
2019,16,121710231,1,9,13129946
2019,4,121710280,0,1,13129953
2019,17,121710280,1,9,13129952
2019,12,121710461,0,1,13125325
2019,4,121712367,1,11,13130086
2019,12,121707250,1,1,13134581
2019,4,121707250,1,1,13134580
2019,4,121703123,5,1,13125457
2019,12,121703123,4,1,13125458
2019,2,123451323,1,9,13593607
2019,8,123451323,2,9,13593608
2019,12,123451434,4,1,13593615
2019,5,123451539,1,1,13589000
2019,5,123456652,3,1,13585300
2019,12,123446564,1,11,13589010
2019,5,123451598,3,1,13593633
2019,5,123456776,2,1,13589023
2019,16,123456776,1,9,13593641
2019,4,121691426,0.33,1,13124920
2019,8,121695094,38,9,13129553
2019,15,121687253,3,1,13134227
2019,4,121687253,0,1,13134226
2019,4,121687316,0,9,13134234
2019,4,121687316,0,1,13134233
2019,4,121687529,1,9,13125051
2019,12,121687529,1,9,13125050
2019,12,121687550,5,1,13134260
2019,12,121697724,2,1,13125166
2019,4,121697846,0,1,13129777
2019,4,121694235,1,11,13125191
2019,12,121694235,1,11,13125190
2019,16,121694322,2,9,13129827
2019,8,121694322,2,9,13129826
2019,4,121694540,2,9,13125226
2019,12,121694540,1,9,13125225
2019,4,121689129,1,9,13134398
2019,12,121700121,1,1,13125252
2019,4,121699554,1,11,13129894
2019,4,121700402,28,1,13134453
2019,12,121700661,1,1,13125275
2019,5,121700724,142,1,13129920
2019,12,121700804,1,1,13125282
2019,5,121705455,7,1,13134471
2019,4,123457033,1,1,13593660
2019,12,121701096,0,1,13129944
2019,12,121710225,1,11,13129945
2019,1,121712951,13.1,1,13134598
2019,12,123451860,1,1,13585332
2019,4,123446893,1,1,13585335
2019,16,123446893,13,9,13585336
2019,16,123451906,5,9,13593668
2019,17,123452002,10,9,13593674
2019,4,123452002,2,1,13589067
2019,16,123452018,1,1,13593678
2019,16,123447186,73,9,13589087
2019,4,123447186,25,1,13589085
2019,12,123447186,9,1,13589086
2019,12,123452346,0,1,13589112
2019,12,123447950,0,1,13589160
2019,4,123457901,1,9,13585419
2019,12,123457901,1,9,13589177
2019,17,123452969,6,1,13593761
2019,8,123452969,14,9,13593759
2019,12,123452969,1,1,13593760
2019,16,121684150,11,1,13129456
2019,12,121684150,12,1,13129455
2019,8,121684419,11,9,13129481
2019,5,111491473,1,1,10524446
2019,17,111491721,,,10524454
2019,12,111483698,1.096,1,10516249
2019,5,111491851,,,10524472
2019,5,111491852,1,1,10524473
2019,8,111491860,6.002,1,10524475
2019,12,111483781,0.001,1,10536258
2019,12,111492110,0.001,1,10524495
2019,12,111492112,0.019,1,10524497
2019,12,111492115,0.002,1,10524498
2019,12,111492135,0.001,1,10536262
2019,4,111492142,0.001,1,10524500
2019,4,111492146,0.001,1,10524502
2019,17,111492466,41.004,1,10524539
2019,4,111484082,9.009,1,10536293
2019,5,111492677,4.001,1,10524559
2019,12,111492776,1.075,1,10524564
2019,12,111492816,2.005,1,10524567
2019,4,111492831,0.006,1,10532329
2019,12,111492852,15.003,1,10524569
2019,12,111492957,0.004,1,10524573
2019,8,111492959,2,9,10524574
2019,12,111493067,16.009,1,10524579
2019,12,111493116,0.001,1,10524588
2019,12,111493125,,,10524590
2019,12,111496467,,,10532368
2019,5,111493134,,,10536327
2019,12,111493143,0.001,1,10524595
2019,12,111493149,0.006,1,10524596
2019,4,111493154,0.002,1,10532380
2019,12,111493166,0.009,1,10524599
2019,4,111493194,3.009,1,10524607
2019,12,111493218,0.001,1,10524612
2019,5,111493257,4.008,1,10524616
2019,17,111493261,,,10524617
2019,12,111508562,113.008,1,10524895
2019,17,111508561,,,10536785
2019,17,111508978,,,10524924
2019,12,111508979,14.053,1,10524925
2019,16,114835240,0,1,11093448
2019,17,111491729,,,10524455
2019,17,111491742,,,10524458
2019,16,111492087,1,11,10524493
2019,12,111491422,1,11,10524439
2019,17,111491735,,,10524456
2019,17,111491748,,,10524460
2019,2,111495600,22.089,1,10524485
2019,16,111491973,10,9,10524486
2019,17,111492490,13.008,1,10524540
2019,4,111492880,46.007,1,10524570
2019,4,111492883,0.001,1,10524571
2019,12,111496298,18.008,1,10532344
2019,4,111496552,142.005,1,10532383
2019,4,111493174,20.009,1,10524601
2019,4,111493177,9.002,1,10524602
2019,4,111499554,1.025,1,10536335
2019,4,111493188,0.043,1,10524605
2019,4,111493198,10.059,1,10524608
2019,17,111493629,12,9,10524651
2019,17,111518645,,,10536825
2019,4,111518646,1,9,10536826
2019,16,111524260,1,9,10524980
2019,17,111524271,,,10524981
2019,4,111556820,1.005,1,10525907
2019,8,111556846,15,9,10525909
2019,4,111557135,1,9,10525925
2019,12,111548455,1,9,10537521
2019,4,111557274,6,9,10525936
2019,12,111551963,3,9,10533552
2019,12,111557483,1,11,10525946
2019,12,111557493,1,11,10525947
2019,5,111557726,2,1,10525955
2019,12,111548846,1,9,10537535
2019,12,111552475,1,9,10533574
2019,12,111558113,2,9,10525979
2019,12,111558124,1,11,10525980
2019,5,111552734,1,11,10533596
2019,15,111552746,2,9,10533597
2019,15,111558175,78,9,10525987
2019,16,111554087,,,10533669
2019,17,111559162,,,10526050
2019,17,111559193,,,10526053
2019,4,114963084,21,1,11110487
2019,12,114963102,24.004,1,11119771
2019,17,114968830,,,11116231
2019,8,114969047,0.001,1,11119842
2019,17,114980815,,,11119939
2019,4,111493208,0.006,1,10524611
2019,4,111496639,0.001,1,10532399
2019,8,111493265,1,9,10524618
2019,5,111496812,13.006,1,10532424
2019,16,111493347,16,9,10524629
2019,12,111496923,9.057,1,10532443
2019,12,111493507,0.006,1,10524640
2019,16,111493519,1,9,10524643
2019,17,111493574,,,10524648
2019,12,111550643,1.003,1,10533446
2019,4,111555063,1,1,10525771
2019,4,111555070,2.002,1,10537389
2019,4,111555098,1.005,1,10525774
2019,12,111555180,1,1,10525789
2019,2,111557373,1,9,10525941
2019,12,111557462,1,9,10525943
2019,12,111557472,1,9,10525944
