"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,5,137858757,25838828
2019,3,137858802,25838835
2019,12,137862468,25830745
2019,12,137858823,25838839
2019,20,137858843,25830753
2019,12,137858851,25838845
2019,12,137858866,25838848
2019,12,137862597,25830770
2019,12,136179655,25332385
2019,18,136186962,25337482
2019,9,136187228,25337565
2019,12,136187239,25332517
2019,12,136182039,25332521
2019,18,136180098,25332520
2019,3,136182035,25327931
2019,10,136182052,25327940
2019,9,136182052,25327939
2019,12,136180122,25332534
2019,12,136187278,25337585
2019,12,136182195,25332556
2019,12,136182198,25327971
2019,9,136182212,25327973
2019,12,138544538,26025666
2019,12,138544542,26025669
2019,20,138539363,26034135
2019,12,138544913,26025738
2019,12,138539441,26025751
2019,18,138544959,26025752
2019,18,138544970,26025756
2019,12,138539752,26025831
2019,12,138539759,26025833
2019,12,138539785,26034225
2019,12,138539885,26034261
2019,12,138540409,26037025
2019,12,138548663,26037036
2019,12,138540535,26034459
2019,12,138551408,26026201
2019,9,138551421,26026206
2019,12,138551461,26026220
2019,12,138551489,26026229
2019,12,138551529,26026247
2019,12,138551579,26026262
2019,12,138551604,26026273
2019,12,138559410,26042546
2019,20,138566826,26042556
2019,12,138564879,26035513
2019,12,138566872,26035514
2019,3,138559572,26035545
2019,20,138565054,26038744
2019,18,138567252,26042651
2019,9,138565317,26038800
2019,2,138565487,26038827
2019,12,138559944,26035623
2019,12,138565499,26038831
2019,11,138559962,26035628
2019,12,138567704,26042733
2019,20,138560078,26035646
2019,2,138565689,26042737
2019,12,138565760,26038877
2019,12,138565768,26038878
2019,9,138567861,26042766
2019,12,138560159,26038887
2019,12,138567933,26038899
2019,9,138565932,26042784
2019,18,138566057,26038925
2019,12,138568379,26042854
2019,12,138571449,26039006
2019,12,138560522,26042930
2019,3,138568787,26042934
2019,12,138571502,26035734
2019,12,138568816,26042945
2019,12,138571533,26039020
2019,12,138560610,26042966
2019,3,138568932,26042969
2019,3,138571585,26035748
2019,12,138560649,26035755
2019,12,138569448,26039058
2019,12,138571860,26039066
2019,12,138560837,26035790
2019,12,138560842,26035791
2019,12,138569646,26043059
2019,12,138561021,26035829
2019,11,138572099,26039142
2019,3,138572139,26039159
2019,3,138572138,26035852
2019,12,138572189,26039169
2019,19,138570056,26043165
2019,12,138572335,26043191
2019,12,138576245,26035915
2019,12,138570137,26039216
2019,18,138576270,26035925
2019,20,138576314,26035933
2019,12,138576322,26035934
2019,12,138576338,26043210
2019,10,138572447,26039243
2019,10,138572446,26039242
2019,3,138576347,26035938
2019,12,138576359,26035940
2019,12,138570239,26043221
2019,18,138576441,26035961
2019,12,138570277,26043236
2019,12,138572669,26039315
2019,20,138576557,26036004
2019,12,138576611,26039338
2019,12,138576641,26036035
2019,12,138572814,26039353
2019,12,138576723,26039367
2019,12,138576772,26043265
2019,12,138572966,26036099
2019,12,138572975,26039414
2019,12,138572987,26039420
2019,12,138573000,26039422
2019,20,138576836,26039430
2019,12,138570476,26043279
2019,12,138573130,26039461
2019,12,138576943,26036146
2019,12,138576966,26036154
2019,12,138573285,26039516
2019,12,138577035,26043340
2019,9,138577052,26043348
2019,12,138581716,26043632
2019,3,136773851,25490272
2019,12,136782715,25494426
2019,12,136782742,25494433
2019,12,136782745,25494435
2019,12,136782756,25494449
2019,9,136774011,25490327
2019,12,136774041,25490345
2019,12,136778002,25498353
2019,9,136778005,25498354
2019,3,136774099,25490371
2019,12,137851064,25830461
2019,9,137844155,25834080
2019,12,137844171,25834082
2019,3,137861172,25830477
2019,18,137861222,25834107
2019,12,137861228,25838758
2019,2,137844344,25834111
2019,12,137844394,25830512
2019,12,137861484,25830554
2019,12,137844744,25834196
