"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,31261834,1,31264758
2019,31265394,1,31272980
2019,31265402,1,31276585
2019,31265413,7,31276595
2019,31265425,1,31276608
2019,31265441,1,31276632
2019,31265487,1,31276682
2019,31265500,1,31276694
2019,31948593,1,31984705
2019,31960048,1,31991278
2019,31948602,1,31984714
2019,31956116,8,31987486
2019,31948615,1,31984728
2019,31960068,8,31991299
2019,31948627,1,31984740
2019,31948629,1,31984742
2019,31956131,1,31991302
2019,31960070,1,31991301
2019,31948634,1,31984747
2019,31948637,1,31984749
2019,31956139,1,31987507
2019,31960082,7,31991315
2019,31960084,7,31991318
2019,31948640,1,31984752
2019,31960097,1,31991331
2019,31948644,1,31984757
2019,31948645,7,31984758
2019,31948647,1,31984759
2019,31256853,1,31268133
2019,31259690,1,31270837
2019,31256866,1,31270838
2019,31251706,1,31263041
2019,31256881,1,31268156
2019,31251731,1,31263068
2019,31251738,1,31263076
2019,31256969,1,31270891
2019,31259736,1,31268233
2019,31259749,1,31270903
2019,31256994,1,31270914
2019,31259771,1,31270923
2019,31257027,1,31263118
2019,31257047,1,31268313
2019,31257054,1,31263142
2019,31257055,1,31268315
2019,31251854,1,31271046
2019,31251869,1,31263222
2019,31257199,1,31268443
2019,31251923,1,31263281
2019,31257303,1,31268547
2019,31251956,1,31263318
2019,31257334,1,31263319
2019,31257344,1,31268579
2019,31251990,1,31263357
2019,31260040,1,31271188
2019,31260043,1,31263380
2019,31257418,1,31268656
2019,31257429,1,31268669
2019,31257430,1,31268670
2019,31257431,1,31268671
2019,31257523,1,31268752
2019,31257525,1,31263457
2019,31257557,1,31268789
2019,31260127,1,31271268
2019,31260128,1,31268793
2019,31257567,1,31268798
2019,31257572,1,31268801
2019,31257573,1,31268802
2019,31260134,1,31268820
2019,31260139,1,31271278
2019,31257594,1,31263490
2019,31260202,1,31271341
2019,31260207,1,31268967
2019,31252151,1,31268970
2019,31252153,1,31263543
2019,31257765,1,31268993
2019,31252171,1,31263558
2019,31260222,1,31269032
2019,31257812,1,31269040
2019,31257822,3,31269051
2019,31252184,1,31269054
2019,31260234,1,31271377
2019,31252209,1,31269110
2019,31257886,1,31269116
2019,31257901,1,31269129
2019,31260269,1,31269159
2019,31260307,1,31269189
2019,31257977,1,31263645
2019,31260328,1,31271481
2019,31258110,1,31269325
2019,31252342,8,31263741
2019,31258150,1,31269356
2019,31258168,8,31271567
2019,31258170,1,31269379
2019,31258178,1,31269383
2019,31260425,1,31269387
2019,31252357,1,31263760
2019,31260459,1,31269433
2019,31258252,7,31263803
2019,31258268,1,31269471
2019,31260487,1,31271638
2019,31260488,1,31269474
2019,31260708,1,31269816
2019,31260710,1,31269818
2019,31258635,1,31263978
2019,31252747,7,31275199
2019,31264017,1,31272090
2019,31260940,1,31272096
2019,31264060,1,31275236
2019,31264069,1,31272126
2019,31252767,1,31275256
2019,31264094,1,31275264
2019,31264152,1,31275325
2019,31264222,1,31275394
2019,31264224,8,31272193
2019,31261034,8,31272192
2019,31264231,1,31275402
2019,31261041,1,31275408
2019,31261042,1,31272200
2019,31261054,1,31264251
2019,31264248,1,31275420
2019,31264261,1,31275432
2019,31261067,7,31272223
2019,31264277,1,31272224
2019,31261086,1,31272242
2019,31252834,7,31264280
2019,31261091,7,31272246
2019,31264330,7,31275483
2019,31252851,1,31275486
2019,31261123,1,31272280
2019,31252861,1,31264308
2019,31252862,1,31264309
2019,31252888,1,31275528
2019,31252902,1,31264340
2019,31252903,1,31264342
2019,31264380,1,31272337
2019,31264384,1,31275548
2019,31264441,1,31272381
2019,31261229,1,31272385
2019,31252968,1,31264403
2019,31264466,1,31275637
2019,31968680,1,31999820
2019,31968682,1,31999822
2019,31963616,7,31994847
2019,31973734,1,31999872
2019,31973735,1,31999873
2019,31963621,1,31994851
2019,31963620,7,31994850
