"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2019,128046072,1,
2019,128042768,9,
2019,128036573,2,
2019,128043244,6,
2019,128043244,9,
2019,128043409,10,
2019,128037239,1,
2019,128050661,9,
2019,128050994,2,
2019,128053650,1,
2019,128054171,1,
2019,128054380,1,
2019,128055821,9,
2019,128055997,1,
2019,128052585,9,
2019,128058307,1,
2019,128059178,9,
2019,128059179,9,
2019,128059181,9,
2019,128059180,9,
2019,128059236,1,
2019,128064721,1,
2019,128064958,9,
2019,128042334,6,
2019,128042376,1,
2019,128042545,1,
2019,128043024,9,
2019,128043792,9,
2019,128043887,9,
2019,128037741,1,
2019,128045067,9,
2019,128045101,1,
2019,128048967,1,
2019,128045539,4,
2019,128045896,9,
2019,128046015,9,
2019,128046192,10,
2019,128049420,1,
2019,128046213,1,
2019,128047092,2,
2019,128047094,2,
2019,128047197,10,
2019,128050875,9,
2019,128053298,3,
2019,128053534,1,
2019,128051059,1,
2019,128053707,6,
2019,128054238,1,
2019,128056136,10,
2019,128056138,10,
2019,128056140,10,
2019,128056139,10,
2019,128056164,6,
2019,128052665,1,
2019,128056892,9,
2019,128056929,1,
2019,128057149,9,
2019,128057190,9,
2019,128057227,1,
2019,128058768,9,
2019,128063549,9,
2019,128063552,9,
2019,128064665,1,
2019,128059451,1,
2019,128059557,9,
2019,128065163,1,
2019,128065230,10,
2019,128065329,1,
2019,128065378,10,
2019,131258567,6,
2019,131263384,6,
2019,131263384,9,
2019,131263558,1,
2019,131258632,9,
2019,131258648,6,
2019,131258649,6,
2019,131278381,9,
2019,131274423,10,
2019,131274428,9,
2019,131279009,1,
2019,131272110,6,
2019,131279183,10,
2019,131275211,1,
2019,131275261,1,
2019,131279597,10,
2019,131280096,9,
2019,131276266,10,
2019,131276594,1,
2019,131277500,1,
2019,131288537,2,
2019,131288597,9,
2019,128048538,1,
2019,128036210,2,
2019,128044706,1,
2019,128044841,1,
2019,128056399,9,
2019,128056573,2,
2019,128057271,9,
2019,128057275,9,
2019,128057273,9,
2019,128057274,9,
2019,128063577,9,
2019,128049382,1,
2019,128046070,10,
2019,128049425,10,
2019,128046265,1,
2019,128049574,1,
2019,128049574,6,
2019,128050761,6,
2019,128054086,9,
2019,128054336,6,
2019,128054646,9,
2019,128054644,9,
2019,128051579,9,
2019,128054816,9,
2019,128054893,2,
2019,128051906,9,
2019,128055200,1,
2019,128056472,9,
2019,128056531,10,
2019,128057477,9,
2019,128064627,6,
2019,128064749,9,
2019,128065801,1,
2019,128059934,9,
2019,126842785,1,
2019,126849980,1,
2019,126850021,2,
2019,126857511,1,
2019,126863174,1,
2019,126865369,1,
2019,126865370,1,
2019,126865497,1,
2019,126875189,9,
2019,126875613,2,
2019,126871015,9,
2019,128042955,6,
2019,128042289,10,
2019,128042726,10,
2019,128042994,1,
2019,128036702,1,
2019,128036700,1,
2019,128043141,9,
2019,128043229,6,
2019,128043265,1,
2019,128036965,9,
2019,128043363,10,
2019,128043429,10,
2019,128048759,1,
2019,128045248,10,
2019,128049055,9,
2019,128049067,1,
2019,128045474,2,
2019,128045503,10,
2019,128045557,9,
2019,128045815,9,
2019,128046937,9,
2019,128047068,1,
2019,128047131,2,
2019,128047131,8,
2019,128047673,1,
2019,128047725,10,
2019,128047726,10,
2019,128050728,6,
2019,128054453,1,
2019,128054582,9,
2019,128054862,6,
2019,128055413,10,
2019,128055740,1,
2019,128055880,1,
2019,128052609,10,
2019,128056847,10,
2019,128052882,10,
2019,128052895,10,
2019,128056919,9,
2019,128056918,9,
2019,128057131,9,
2019,128057385,1,
2019,128057515,1,
2019,128063501,1,
2019,128064508,9,
2019,128064508,1,
2019,128064716,1,
2019,128064943,9,
2019,128065125,1,
2019,128065909,1,
2019,128042919,6,
2019,128055666,1,
2019,128059412,1,
2019,128065337,1,
2019,126855545,9,
2019,128043387,1,
2019,128036816,10,
2019,128043628,1,
2019,128043689,1,
2019,128048499,1,
2019,128048751,10,
2019,128044851,10,
2019,128048755,10,
2019,128044853,10,
2019,128048749,10,
2019,128054129,2,
2019,128051470,9,
2019,128054618,6,
2019,128063689,1,
2019,128064100,1,
2019,128064279,9,
2019,128064279,1,
2019,128064609,2,
2019,128064617,10,
2019,128064641,1,
2019,126848750,6,
2019,126863195,1,
2019,128065266,1,
2019,126863557,1,
2019,126863632,2,
2019,126868215,2,
2019,126863717,2,
2019,126863718,2,
2019,126862230,1,
2019,126864914,2,
2019,128058887,1,
2019,128065766,6,
2019,126841406,1,
2019,126853549,9,
2019,126853548,9,
2019,126850827,10,
2019,126860489,2,
2019,126852544,10,
2019,126863206,10,
2019,126857845,1,
2019,126861808,9,
2019,126861808,1,
2019,126863990,10,
2019,126864147,1,
2019,126865080,6,
2019,126862975,10,
2019,126864505,1,
2019,126859510,1,
2019,126851812,1,
2019,126856227,1,
2019,126856225,1,
2019,126851814,10,
2019,126862524,10,
2019,126862669,6,
2019,126864483,1,
2019,126874001,1,
2019,131261791,10,
2019,131266827,1,
2019,131262377,9,
2019,131262586,1,
2019,131267543,6,
2019,131272991,1,
2019,131272991,6,
2019,131270668,1,
2019,131273262,2,
2019,131273404,6,
2019,131273789,1,
2019,131273789,6,
2019,131273864,1,
2019,131278091,9,
2019,131274286,9,
2019,131274720,10,
2019,131274887,1,
2019,131274887,9,
2019,131278958,1,
