"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,125944654,38,1800,,139842554
2019,125944688,51,0,,139842604
2019,125940332,3,2500,13-NOV-19,139842758
2019,125940333,3,2500,,139842759
2019,125944886,63,0,,139839396
2019,125940399,63,100,,139842837
2019,125940401,9,0,,139842840
2019,125940401,25,400,,139842838
2019,125940401,63,235,,139842841
2019,125940401,6,30,,139842839
2019,125940401,20,1500,,139839397
2019,125940401,3,1000,,139839398
2019,125940443,61,1200,,139839468
2019,125940461,16,2500,,139842957
2019,125940473,37,1000,,139839502
2019,125940532,20,3132,,139839559
2019,125940530,20,3132,06-MAR-19,139839557
2019,125940573,3,1000,,139839597
2019,125940577,20,643,,139839600
2019,125940585,20,46833,,139843129
2019,125945138,9,0,22-JAN-19,139843142
2019,125940593,9,0,,139839624
2019,125946041,67,1,,139840510
2019,125946041,7,1,,139844255
2019,125941335,3,150,,139844304
2019,125941340,3,750,,139840541
2019,125941341,6,200,,139844307
2019,125941388,63,136,,139844371
2019,125941388,6,120,,139844370
2019,125941387,3,700,,139844366
2019,125941444,16,400,,139844447
2019,125946187,54,340,,139844464
2019,125946187,16,200,,139844459
2019,125946187,36,550,,139844462
2019,125946234,8,300,,139844518
2019,125946256,4,296,,139840703
2019,125941508,63,200,,139840723
2019,125941521,16,50,,139844605
2019,125946314,63,1,,139844636
2019,125941555,7,1,,139844657
2019,125941555,13,2,,139844659
2019,125941555,63,1,,139840763
2019,125946337,6,300,,139844666
2019,125946337,17,300,,139844667
2019,125946337,26,2025,,139844668
2019,125946347,6,50,,139840784
2019,125946417,3,3000,,139844768
2019,125946436,3,5000,17-JUN-19,139844799
2019,125946437,25,60,,139840858
2019,125946437,3,30000,,139844800
2019,125946437,20,3500,,139840856
2019,125941813,63,4750,,139841129
2019,125941812,28,4750,,139841128
2019,125941818,7,350,,139841139
2019,125941835,42,100,,139841158
2019,125946650,26,350,,139845061
2019,125946650,7,3000,,139845058
2019,125946650,9,0,,139845060
2019,125946650,43,204,,139845066
2019,125946650,36,100,,139845063
2019,125946650,63,0,,139845067
2019,125946661,20,35000,,139845083
2019,125946723,20,800,,139841265
2019,125941937,20,300,,139841298
2019,125941937,25,40,,139841299
2019,125941937,51,0,,139841300
2019,125941937,9,0,,139841296
2019,125941980,16,120,,139841364
2019,125942032,16,5,,139841438
2019,125942056,25,132,04-OCT-19,139845379
2019,125942056,63,2,04-OCT-19,139841468
2019,125946887,63,2,,139841470
2019,125942056,23,1,05-OCT-19,139845377
2019,125946887,23,1,,139845381
2019,125946887,25,132,,139845383
2019,125946926,4,500,,139845439
2019,125946975,4,500,,139845502
2019,125942154,20,2799,,139841573
2019,125942169,36,650,,139845580
2019,125980975,61,1,,139890007
2019,125981029,36,140,,139890079
2019,125981059,37,5000,08-JUL-19,139886301
2019,125981060,38,1000,,139890119
2019,125981060,37,7000,,139890117
2019,125981060,26,750,,139890116
2019,125981966,3,1,,139891262
2019,125981967,58,140,,139891263
2019,125982006,31,100,,139887159
2019,125982040,3,450,,139891346
2019,125982040,16,20,,139891347
2019,125982057,63,100,,139891361
2019,125982055,3,500,,139891358
2019,125978538,63,15,,139887241
2019,125978537,3,25000,,139887236
2019,125978538,16,20,,139887240
2019,125978538,8,4,,139887239
2019,125978538,6,110,,139887238
2019,125978549,38,200,,139887247
2019,125982144,20,1500,,139891458
2019,125978566,26,700,,139887268
2019,125982169,63,400,,139891480
2019,125982213,37,1,,139891528
2019,125982213,3,1,,139887324
2019,125982213,38,1000,,139887325
2019,125978615,9,0,,139891533
2019,125978615,51,0,,139891536
2019,125978615,26,15,,139891535
2019,125978615,61,1000,,139887329
2019,125982247,16,73,,139891570
2019,125978707,3,10000,,139892437
2019,125978706,3,5000,30-SEP-19,139891664
2019,125978723,25,40,,139892462
2019,125978723,16,350,,139891698
2019,125982395,4,1500,,139892482
2019,125978740,62,20,,139892480
2019,125982424,36,300,,139891766
2019,125982452,63,1500,,139891813
2019,125982495,4,200,,139891865
2019,125982568,38,150,,139891971
2019,125982569,36,70,,139891972
2019,125982569,20,80,,139892645
2019,125982569,61,30,,139891974
