"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,6,140657542
2019,9,140657552
2019,9,140653260
2019,9,140649467
2019,6,140649452
2019,6,140649450
2019,8,140649450
2019,9,140649473
2019,9,140653273
2019,6,140649481
2019,6,140649495
2019,6,140649496
2019,6,140653288
2019,6,140649529
2019,6,140649542
2019,1,140649542
2019,3,140649542
2019,6,140649541
2019,1,140649541
2019,3,140649541
2019,6,140649548
2019,6,140649549
2019,9,140649580
2019,9,140649593
2019,9,140649604
2019,6,140657644
2019,6,140657643
2019,6,140649615
2019,8,140649626
2019,9,140657659
2019,6,140646626
2019,6,140646627
2019,3,140646736
2019,9,140646832
2019,9,140651458
2019,6,140636047
2019,6,140646924
2019,9,140636099
2019,6,140646981
2019,6,140646980
2019,8,140651564
2019,9,140651591
2019,9,140651590
2019,3,140647008
2019,9,140636156
2019,6,140636159
2019,6,140647079
2019,6,140656223
2019,6,140656224
2019,9,140651682
2019,6,140651693
2019,6,140647144
2019,9,140656269
2019,9,140656306
2019,9,140647241
2019,9,140647236
2019,9,140647272
2019,6,140647329
2019,6,140647350
2019,6,140656372
2019,9,140651839
2019,6,140647395
2019,6,140651844
2019,9,140647396
2019,9,140651997
2019,6,140652023
2019,9,140652033
2019,6,140647778
2019,6,140647779
2019,6,140652057
2019,8,140652058
2019,6,140652574
2019,9,140648039
2019,6,140648257
2019,6,140648256
2019,6,140656925
2019,6,140648479
2019,6,140656995
2019,6,140656994
2019,6,140648510
2019,9,140648605
2019,6,140657082
2019,9,140657094
2019,9,140648768
2019,9,140648778
2019,7,140648787
2019,9,140652931
2019,6,140657197
2019,6,140657209
2019,8,140649148
2019,6,140653126
2019,8,140653126
2019,6,140653124
2019,8,140653124
2019,9,140649245
2019,9,140649260
2019,9,140653173
2019,6,140653184
2019,9,140649290
2019,6,136672154
2019,9,136672204
2019,9,136668685
2019,9,136668710
2019,6,136668726
2019,9,136672308
2019,9,136668748
2019,9,136672478
2019,9,136665199
2019,9,136672486
2019,9,136672505
2019,9,136665417
2019,9,136669115
2019,6,136672810
2019,9,136672868
2019,6,136672889
2019,6,136672939
2019,6,136672940
2019,6,136669151
2019,6,136672989
2019,8,136669224
2019,9,136673080
2019,9,136665746
2019,6,136673228
2019,8,136669471
2019,8,136665907
2019,9,136673419
2019,1,136665933
2019,9,136673435
2019,6,136669582
2019,8,136669582
2019,6,136669583
2019,8,136669583
2019,6,136673505
2019,9,136673537
2019,9,136669619
2019,9,136673551
2019,9,136666027
2019,9,136673590
2019,9,136673607
2019,9,136673610
2019,9,136673656
2019,9,136673672
2019,9,136669697
2019,9,136669703
2019,9,136673782
2019,6,136673786
2019,6,136673816
2019,8,136676222
2019,9,136673836
2019,9,136673844
2019,9,136676237
2019,9,136673853
2019,9,136676264
2019,6,136669848
2019,9,136669866
2019,6,136669893
2019,9,136673990
2019,9,136674000
2019,9,136669940
2019,9,136669977
2019,6,136669964
2019,3,148425261
2019,6,148434114
2019,6,148429455
2019,6,148425754
2019,6,148425787
2019,9,148434216
2019,6,148434217
2019,9,148434226
2019,9,148425980
2019,9,148434583
2019,9,148434588
2019,6,148429734
2019,9,148429739
2019,9,148429802
2019,9,148434755
2019,9,148436240
2019,3,148434800
2019,9,148436276
2019,9,148429844
2019,9,148435070
2019,9,148436532
2019,9,148436561
2019,9,148435312
2019,9,148352609
2019,9,148366580
2019,6,148367014
2019,9,148353259
2019,6,148353271
2019,3,148367333
2019,3,148367728
2019,9,148353527
2019,9,148353534
2019,9,148367821
2019,9,148353646
2019,6,148353672
2019,8,148353669
2019,9,148353688
2019,6,148367999
2019,9,148368008
2019,9,148368064
2019,8,148353805
2019,8,148353806
2019,9,148368138
2019,6,148368234
2019,9,148369028
2019,8,148357792
2019,9,148354652
2019,6,148354845
2019,9,148354857
2019,9,148354992
2019,2,148355268
2019,9,148355293
2019,6,148370158
2019,9,148358322
2019,6,148371184
2019,8,148371184
2019,6,148371179
2019,8,148371179
2019,6,148371427
