"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,107346179,7,500,,115340476
2018,107343267,16,40,,115340514
2018,107346206,34,1,,115340513
2018,107346236,7,850,,115340557
2018,107346255,8,81,11-OCT-18,115342841
2018,107346257,8,81,,115340582
2018,107343314,63,60,12-OCT-18,115347463
2018,107336973,63,60,,115347464
2018,107343324,51,0,,115342862
2018,107343324,19,331,,115340606
2018,107343324,20,30,,115342859
2018,107343324,9,0,,115340604
2018,107343324,25,30,,115342860
2018,107343337,22,0,28-OCT-18,115347477
2018,107343346,20,500,,115340633
2018,107343361,17,250,,115342908
2018,107343361,36,45,,115340672
2018,107343361,63,1,,115340673
2018,107343361,10,34,,115347510
2018,107343361,16,300,,115340669
2018,107343369,63,1,,115342918
2018,107343369,20,30,,115342917
2018,107346320,3,1,,115347515
2018,107346336,36,400,,115347524
2018,107346336,61,700,,115340703
2018,107346336,7,850,,115342931
2018,107343398,3,5000,14-OCT-18,115342949
2018,107346370,3,5000,,115340743
2018,107343402,51,0,14-OCT-18,115347550
2018,107346376,9,0,,115340749
2018,107346376,51,0,,115342961
2018,107343402,61,100,14-OCT-18,115347552
2018,107346376,61,100,,115342962
2018,107343402,9,0,14-OCT-18,115347549
2018,107346387,63,100,,115342984
2018,107343412,4,500,,115342985
2018,107343418,63,218,,115342994
2018,107337034,20,20,,115347585
2018,107337034,4,200,,115347582
2018,107337034,26,2100,,115347586
2018,107337034,63,60,,115343032
2018,107337033,34,1,,115347580
2018,107337034,43,1490,,115343029
2018,107337034,6,400,,115347583
2018,107337034,16,40,,115347584
2018,107337034,54,40,,115343030
2018,107337035,3,300,,115343036
2018,107343454,7,200,,115340822
2018,107343463,3,1200,,115343046
2018,107346457,19,205,,115343075
2018,107346457,20,492,,115340856
2018,107343500,20,32,,115343096
2018,107343504,63,1,,115340893
2018,107343528,29,150,,115347644
2018,107343552,19,41,,115347672
2018,107343552,9,0,,115347671
2018,107346571,63,150,,115343171
2018,107343570,63,1,,115343186
2018,107343570,36,1000,,115341021
2018,107343570,25,400,,115343183
2018,107343570,20,50,,115341018
2018,107343570,9,0,,115341017
2018,107343570,62,1,,115341022
2018,107346598,6,200,,115341041
2018,107346598,7,1000,,115341043
2018,107346598,20,25,,115341044
2018,107346598,45,500,,115343196
2018,107337110,63,25,,115347682
2018,107343601,3,200,,115341087
2018,107343626,63,20,,115341132
2018,107343626,20,6,,115341130
2018,105715312,6,1150,,113246287
2018,105711683,4,800,,113236308
2018,105711697,4,870,,113248297
2018,105711700,31,900,,113246319
2018,105711702,37,2500,,113248307
2018,105711701,37,2500,16-JUL-18,113248305
2018,105719912,24,800,,113236321
2018,105719918,25,1,,113246338
2018,105719944,25,25,,113236362
2018,105719944,9,0,,113246383
2018,105719944,20,20,,113248364
2018,105719944,51,0,,113246386
2018,105711765,4,650,,113236370
2018,105711778,19,1,,113246411
2018,105711778,17,500,,113248404
2018,105711833,63,1,,113248499
2018,105715409,7,500,,113256443
2018,105720033,63,110,,113251510
2018,105720040,63,10,,113251516
2018,105720085,25,130,,113248636
2018,105711951,63,190,,113248645
2018,105720134,26,1750,,113251648
2018,105711998,7,300,,113248722
2018,105711998,20,30,,113248723
2018,105720150,35,75,,113248758
2018,105720150,36,75,,113251676
2018,105712028,3,2500,27-JUL-18,113251682
2018,105712030,3,2500,,113251687
2018,105712059,36,1,,113248809
2018,105712089,61,1,,113248850
2018,105712089,25,1,,113248849
2018,105712098,67,1,,113256567
2018,105712140,19,1,,113248919
2018,105720238,61,100,,113248925
2018,105720238,63,130,,113251793
2018,105715548,9,0,,113251867
2018,105715548,25,1,,113256622
2018,105715548,63,1,,113249011
2018,105715556,8,8,,113249035
2018,105720308,4,1,,113251915
2018,105715570,3,2500,,113249091
2018,105712266,3,2500,25-JUL-18,113249090
2018,105712279,6,250,,113251951
2018,105712279,51,0,,113251950
2018,105712293,2,4,,113256669
2018,105712302,9,0,,113249137
2018,105720358,63,1,,113256681
2018,105720369,63,8,23-JUL-18,113252011
2018,105712319,63,8,,113252012
2018,105715605,25,80,,113249217
2018,105712375,10,,,113252076
2018,105720436,3,7500,,113249249
2018,105720434,3,7500,25-JUL-18,113249247
2018,105712432,4,1749,,113249317
2018,105715630,20,905,,113256767
2018,105720477,19,1,,113252141
2018,105720486,10,,,113256780
2018,105712461,6,950,,113249362
2018,105720505,10,,,113249380
2018,105720516,17,600,,113252201
2018,105720516,25,120,,113249394
2018,105720516,7,1700,,113249401
2018,105720516,6,370,,113249400
2018,105720516,9,0,,113249396
2018,105712593,26,1,,113249567
2018,105712593,6,2,,113249566
2018,105712593,61,1,,113249568
2018,105712593,25,1,,113249570
2018,105712594,25,1,,113256876
2018,105720635,38,1,,113252362
2018,105720648,6,950,,113249654
2018,105720648,63,15,,113249653
2018,105720654,51,0,,113249664
2018,105720670,7,3000,,113249691
2018,105720710,21,2,,113252475
2018,105720710,25,90,,113252478
2018,105712760,29,2,,113249801
2018,105715803,25,500,,113257006
2018,105712802,10,300,,113252585
2018,105712820,63,10,,113252604
2018,105720793,16,10,30-JUL-18,113249886
2018,105720793,47,0,30-JUL-18,113252600
2018,105712820,26,45,,113252603
2018,105720793,26,45,30-JUL-18,113249887
2018,105720793,63,10,30-JUL-18,113257026
2018,105712820,16,10,,113252601
2018,105712820,47,0,,113252605
2018,105720801,4,1,,113252608
2018,105720810,3,2500,01-AUG-18,113252621
2018,105720811,3,2500,,113252622
2018,105712862,63,530,,113249943
2018,105712862,26,200,,113249946
2018,105712862,17,450,,113249944
2018,105715853,63,1,,113249998
2018,105720869,3,7500,29-AUG-18,113250013
2018,105720869,38,1,30-AUG-18,113252699
2018,105715862,38,1,,113250016
2018,105715862,3,7500,,113252701
2018,105720899,25,500,,113252748
2018,105715881,20,20,,113250047
2018,105715881,27,20,,113252752
2018,105715886,63,1,,113257096
2018,105712950,38,1,,113250068
2018,105720966,4,350,,113252831
2018,105715924,42,80,,113257152
2018,105713027,36,400,,113252889
2018,105713027,57,500,,113252887
2018,105715944,20,300,,113257172
2018,105715950,61,1,,113252906
2018,105721057,31,1,,113250271
2018,105713084,10,,,113250288
2018,105713092,63,11,03-AUG-18,113250299
2018,105713095,63,11,,113257207
2018,105713132,59,1,,113257237
2018,105713143,8,35,,113250352
2018,105713143,16,60,,113250351
2018,105713159,26,1,,113250369
2018,105716023,7,3999,,113250427
2018,105716023,26,493,,113253069
2018,105716023,27,15,,113250426
2018,105721141,47,0,,113257279
2018,105716043,20,1,,113250469
2018,105716043,4,200,,113253103
2018,105716043,36,1,,113250468
2018,105721167,3,2500,06-AUG-18,113253115
2018,105721169,3,2500,,113253117
2018,105721171,61,1000,,113257303
2018,105721171,25,60,,113257302
2018,105721171,63,300,,113257306
2018,105721171,7,2500,,113253124
2018,105713249,61,1,,113250495
2018,105713262,8,1,,113250505
2018,105713262,25,150,,113253154
2018,105713262,7,400,,113257324
2018,105713262,26,400,,113253149
2018,105713262,63,1,,113253150
2018,105713262,20,1800,,113253153
2018,105713271,42,1,,113253161
2018,105713271,4,1,,113253162
2018,105713277,47,0,,113250530
2018,105713307,3,2500,,113250574
2018,105713306,3,2500,09-AUG-18,113250573
2018,105713344,38,750,,113250610
2018,105721230,3,2501,,113253255
2018,105713355,3,2500,15-AUG-18,113250622
2018,105721236,17,2,,113253264
2018,105713415,19,50,,113257410
2018,105713415,16,8,,113250700
2018,105713415,63,3,,113253319
2018,105713415,8,2,,113250705
2018,105713415,6,48,,113253320
2018,105713411,19,48,07-AUG-18,113250699
2018,105713445,38,400,,113250754
2018,105721366,62,2550,,113250843
2018,105721376,63,50,,113253439
2018,105713522,25,100,,113250867
2018,105716203,36,540,,113257508
2018,105716203,42,310,,113250872
2018,105713534,19,1,,113257518
2018,105713534,6,50,,113257516
2018,105721412,6,150,,113253482
2018,105721413,36,150,,113250925
2018,105721413,6,500,,113257532
2018,105721413,25,100,,113257533
2018,105716226,63,20,,113250942
2018,105716230,9,0,,113253497
2018,105713600,20,850,,113253517
2018,105716255,63,499,,113257589
2018,105713667,20,1300,,113253584
2018,105713667,25,1,,113253583
2018,105713678,63,2,,113251064
2018,105721496,9,0,,113253600
2018,105713718,38,1,,113253632
2018,105713732,19,15,,113251129
2018,105713763,10,,,113253683
2018,105713778,3,2500,,113251188
2018,105721564,3,2500,13-AUG-18,113251187
2018,105713815,26,249,,113257684
2018,105713832,4,1000,,113251290
2018,105713844,6,75,,113251309
2018,105713844,4,1500,,113257704
2018,105713844,62,700,,113251307
2018,105713844,36,60,,113257705
2018,105713844,63,53,,113257703
2018,105721661,63,1,,113251378
2018,105716377,7,1,,113251392
2018,105716383,3,2500,27-AUG-18,113257746
2018,105713912,3,2500,,113251399
2018,105713921,4,500,,113251408
2018,105721707,17,1,,113253889
2018,105721724,4,1600,,113261487
2018,105721740,25,1,,113253929
2018,105721740,51,0,,113253928
2018,105721740,9,0,,113253932
2018,105721740,63,150,,113253933
2018,105716448,25,100,,113253980
2018,105714059,61,600,,113261589
2018,105716466,4,1000,,113254022
2018,105721807,37,2500,,113261636
2018,105716474,37,2500,19-AUG-18,113257847
2018,105721807,63,2,,113261638
2018,105721807,51,0,,113257848
2018,105716488,38,500,,113257859
2018,105714119,63,1,,113257867
2018,105714137,20,67,,113254074
2018,105724164,25,200,,113261735
2018,105724164,4,400,,113261733
2018,105721877,47,0,,113261760
2018,105724185,16,50,,113261770
2018,105724190,10,700,,113254148
2018,105724190,61,600,,113254145
2018,105721911,3,15000,20-AUG-18,113254166
2018,105721912,3,15000,,113254167
2018,105716532,20,116,,113257931
2018,105724228,4,400,,113261845
2018,105721943,42,2000,,113254214
2018,105724253,25,395,,113261877
2018,105721983,63,1,,113254281
2018,105724312,63,2,,113261963
2018,105722000,63,2,,113254302
2018,105722003,43,50,,113258013
2018,105724371,60,200,,113258045
2018,105724379,10,1,,113262054
2018,105722125,20,1,,113262187
2018,105722127,20,5,,113258117
2018,105724526,63,437,,113262251
2018,105716687,38,600,,113262277
2018,105716687,25,500,,113262276
2018,105716687,63,1,,113262281
2018,105716687,36,2,,113262275
2018,105716687,51,0,,113258154
2018,105716687,7,3350,,113254522
2018,105716687,9,0,,113254528
2018,105724572,63,1000,,113262336
2018,105706238,8,3,,113233005
2018,105697876,36,300,,113238322
2018,105706279,10,,,113238335
2018,105702855,6,100,,113233067
2018,105702855,20,300,,113233068
2018,105702881,61,150,21-AUG-18,113233105
2018,105706319,61,150,,113233107
2018,105697930,29,500,,113233119
2018,105706334,29,20,,113238393
2018,105697964,50,30,,113241440
2018,105697979,61,66,,113238454
2018,105698018,3,1,,113241546
2018,105706423,20,1,,113238504
2018,105706465,3,1,,113233298
2018,105706463,3,1,27-AUG-18,113238556
2018,105698085,3,1,,113238578
2018,105698092,36,80,,113233325
2018,105698094,36,1800,,113238585
2018,105706510,3,1,,113241668
2018,105698115,38,1,,113241678
2018,105706540,34,400,,113241711
2018,105706541,25,15,,113233372
2018,105706541,16,15,,113233371
2018,105706541,63,70,,113233375
2018,105706541,51,0,,113233373
2018,105706541,6,20,,113238636
2018,105698146,61,1,,113238660
2018,105698160,20,1,,113238673
