"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2018,104488363,99513602,7,,
2018,104488361,99513602,4,,
2018,104491815,99506792,7,,
2018,104488393,99506813,7,,
2018,104488423,99513652,4,,
2018,104488447,99513675,4,,
2018,104491875,99509046,7,,
2018,104488477,99509056,7,,
2018,104494333,99509060,7,1,
2018,104488506,99506892,7,,
2018,104488504,99506892,5,,
2018,104488568,99506952,7,,
2018,104491966,99506976,7,,
2018,104491964,99506976,4,,
2018,104492006,99513842,7,,
2018,104492005,99513842,4,,
2018,104494438,99507029,4,,
2018,104492043,99509181,5,,
2018,104492044,99509181,7,,
2018,104498692,99513896,7,,
2018,104492073,99507077,7,1,
2018,104498696,99507077,5,,1
2018,104494473,99507086,7,,
2018,104494478,99507093,7,1,
2018,104492092,99507101,7,,
2018,104498735,99513942,7,,
2018,104498737,99507111,1,,
2018,104498739,99507111,7,,
2018,104494500,99509241,7,,
2018,104498777,99514002,7,,
2018,104498783,99509260,4,,
2018,104498794,99514021,7,,
2018,104494563,99507187,4,,
2018,104492204,99507230,4,,
2018,104498908,99514170,7,,
2018,104492223,99509376,5,,
2018,104492224,99509376,7,,
2018,103431364,98294574,7,,
2018,103431403,98294618,4,,
2018,103431440,98294654,7,,
2018,103431484,98294697,7,,
2018,103431514,98294737,4,,
2018,103431519,98294737,7,,
2018,103431558,98294776,7,,
2018,103431582,98294800,7,,
2018,103432215,98295490,3,,
2018,103432445,98295787,1,,
2018,103432446,98295787,3,,
2018,103432778,98296154,7,,
2018,103432776,98296154,1,,
2018,103432903,98296285,7,,
2018,103432950,98296333,7,,
2018,103432986,98296379,5,,
2018,103432997,98296379,7,,
2018,103433109,98296492,7,,
2018,103433212,98296603,4,,
2018,103433254,98296636,7,,
2018,103433250,98296636,5,,
2018,103433492,98296892,6,,
2018,103433545,98296947,7,,
2018,103433914,98297314,4,,
2018,103434118,98297519,1,,
2018,103434153,98297556,5,,
2018,103434157,98297556,7,,
2018,103434275,98297699,5,,1
2018,103434279,98297699,7,1,
2018,103434620,98298052,7,,
2018,103434683,98298117,7,,
2018,103434739,98298181,7,,
2018,103434770,98298213,7,,
2018,103434840,98298271,4,,
2018,103434862,98298299,5,,
2018,103434866,98298299,7,,
2018,103434935,98298388,7,,
2018,103435022,98298492,6,,
2018,111526343,107315097,4,,
2018,111526346,107315099,1,,
2018,111535180,107315105,4,,
2018,111526352,107315108,7,,
2018,111531754,107316795,7,,
2018,111531761,107316802,7,,
2018,111531760,107316802,4,,
2018,111526369,107315123,7,,
2018,111526373,107315126,4,,
2018,111526374,107315126,7,,
2018,111526375,107315127,7,,
2018,111526384,107315135,5,,1
2018,102711701,97498694,7,,
2018,102711778,97498789,3,,
2018,102711788,97498789,6,,
2018,102711824,97498824,5,,
2018,102711825,97498824,7,,
2018,102711883,97498882,7,,
2018,102711874,97498882,5,,
2018,102712158,97499184,5,,1
2018,102712166,97499184,7,1,
2018,102712272,97499308,4,,
2018,102712267,97499308,1,,
2018,102712350,97499386,5,,1
2018,102712356,97499386,7,1,
2018,102712362,97499393,7,,
2018,102712463,97499491,4,,
2018,102712453,97499491,1,,
2018,102712541,97499581,7,,
2018,102712536,97499581,5,,
2018,102712653,97499693,1,,
2018,102712759,97499811,7,,
2018,102712877,97499927,7,,
2018,102712921,97499973,7,,
2018,102712988,97500039,7,,
2018,102713037,97500097,7,,
2018,102713077,97500137,1,,
2018,102713249,97500318,7,,
2018,102713266,97500332,7,1,
2018,102713339,97500416,1,,
2018,102713398,97500472,1,,
2018,102713421,97500493,7,,
2018,111526385,107315135,7,1,
2018,111526393,107315142,7,,
2018,102713474,97500572,5,,
2018,102713478,97500572,7,,
2018,102713843,97500959,7,,
2018,111531811,107316844,7,,
2018,111526407,107315154,7,,
2018,102714018,97501105,7,,
