"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2018,9,124370990
2018,6,124366062
2018,9,124366086
2018,9,124364317
2018,9,124371150
2018,9,124366196
2018,9,124366236
2018,9,124371308
2018,6,124364518
2018,9,124366316
2018,9,124366388
2018,9,124366453
2018,9,124371560
2018,9,124366469
2018,9,124371586
2018,9,124366532
2018,9,124364913
2018,1,124371707
2018,9,124371763
2018,9,124371767
2018,9,124366664
2018,9,124366832
2018,3,124365284
2018,9,124372023
2018,6,124372155
2018,9,124372219
2018,9,124367075
2018,6,124375520
2018,6,124367110
2018,6,124375631
2018,9,124372435
2018,9,124375731
2018,9,124375782
2018,6,124375799
2018,9,124375803
2018,6,124367426
2018,9,124375914
2018,9,124376585
2018,9,124350381
2018,6,124355382
2018,6,124349123
2018,9,124355521
2018,9,124349302
2018,9,124350927
2018,9,124350942
2018,3,124351014
2018,9,124355893
2018,9,124355925
2018,9,124349633
2018,9,124351079
2018,9,124351133
2018,8,124349698
2018,9,124349841
2018,9,124349864
2018,9,124349871
2018,9,124351395
2018,5,124349993
2018,6,124349999
2018,6,124351476
2018,6,124356469
2018,5,124356473
2018,9,124356719
2018,9,124351969
2018,9,124360384
2018,6,124352057
2018,6,124352059
2018,9,124360455
2018,9,124357131
2018,9,124352205
2018,9,124352790
2018,6,124357825
2018,6,124357822
2018,6,124360987
2018,9,124358023
2018,9,124361250
2018,6,124358173
2018,9,124361310
2018,9,124361356
2018,6,124361415
2018,9,124358493
2018,9,124358534
2018,6,124361744
2018,6,124361752
2018,9,124353918
2018,6,124353985
2018,9,124354016
2018,9,124362056
2018,6,124359184
2018,5,124362180
2018,9,124359302
2018,9,124359310
2018,9,124359318
2018,2,124359319
2018,9,124354198
2018,6,124362280
2018,14,124362337
2018,9,124354260
2018,6,124359446
2018,9,124354325
2018,9,124362550
2018,6,124354410
2018,6,124362558
2018,9,124362640
2018,9,124359899
2018,8,124354805
2018,8,124359992
2018,9,124360011
2018,9,124354907
2018,9,124360113
2018,9,124355066
2018,6,124363278
2018,9,124355097
2018,9,124355182
2018,9,124355208
2018,9,124355252
2018,9,124365390
2018,9,124363523
2018,9,124365470
2018,1,124365490
2018,3,124370394
2018,2,124363581
2018,3,124363581
2018,9,124370450
2018,9,124370457
2018,9,124363706
2018,9,124371954
2018,6,124367081
2018,9,124375617
2018,6,124367220
2018,9,124375701
2018,9,124372495
2018,6,124375737
2018,9,124375808
2018,6,124367449
2018,8,124367449
2018,10,124376725
2018,9,124368536
2018,9,124377873
2018,9,124368575
2018,9,124377997
2018,9,124375050
2018,9,124375144
2018,9,124378322
2018,9,124375219
2018,9,124368859
2018,9,124380433
2018,9,124378547
2018,9,124380557
2018,9,124380619
2018,6,124369066
2018,9,124380777
2018,9,124378827
2018,9,124380804
2018,9,124380814
2018,9,124378884
2018,9,124380899
2018,9,124369178
2018,9,124379020
2018,9,124369244
2018,6,124381051
2018,9,124369281
2018,9,124381185
2018,9,124379230
2018,9,124379292
2018,9,124369389
2018,9,124379414
2018,9,124381447
2018,9,124381530
2018,9,124381595
2018,9,124379617
2018,9,124379692
2018,9,124369601
2018,6,124382092
2018,9,124382198
2018,9,124380085
2018,6,124382434
2018,9,124380212
2018,9,124382659
2018,9,124370001
2018,9,124385458
2018,9,124382850
2018,9,124385756
2018,9,124383106
2018,9,124383304
2018,9,124383603
2018,9,124384004
2018,6,124384092
2018,9,124384207
2018,9,124334814
2018,9,124328482
2018,8,124324420
2018,9,124324434
2018,9,124341284
2018,9,124345757
2018,9,124337061
2018,1,124341340
2018,9,124341379
2018,9,124341391
2018,9,124337111
2018,9,124337246
2018,6,124346097
2018,9,124346186
2018,9,124341742
2018,9,124346235
2018,6,124341794
2018,6,124346245
2018,6,124341795
2018,6,124337589
2018,6,124337588
2018,6,124341956
2018,9,124346393
2018,9,124342190
2018,9,124337826
2018,9,124346585
2018,6,124337877
2018,6,124342319
2018,6,124342516
2018,2,124338303
2018,6,124338303
2018,8,124338303
2018,9,124338360
2018,9,124342808
2018,8,124338435
2018,9,124338495
2018,9,124343005
2018,9,124347608
2018,9,124347624
2018,9,124339003
2018,8,124347678
2018,9,124339111
2018,9,124347746
2018,6,124339156
2018,6,124347789
2018,6,124339205
2018,9,124347961
2018,9,124344209
2018,9,124339574
2018,6,124339580
2018,6,124344220
2018,9,124339601
2018,6,124344277
2018,6,124344615
2018,6,124344614
2018,9,124344623
2018,9,124344774
2018,9,124348732
2018,9,124340106
2018,9,124344907
2018,6,124348785
2018,9,124348794
2018,9,124340217
2018,2,124345007
2018,6,124348890
2018,9,124348892
2018,9,124340275
2018,6,124340294
2018,6,124340293
2018,9,124340299
2018,9,124345201
2018,6,124349231
2018,6,124349233
2018,6,124351266
2018,9,124356237
2018,6,124356273
2018,5,124350041
2018,8,124351546
2018,1,124351591
2018,9,124350095
2018,9,124350141
2018,9,124350140
2018,9,124351695
2018,9,124356664
2018,6,124350200
2018,6,124356696
2018,9,124351796
2018,3,124356890
2018,9,124357055
2018,6,124352122
2018,6,124352121
2018,9,124360485
2018,6,124357151
2018,9,124328479
2018,9,124334857
2018,8,124324448
2018,6,124324448
2018,9,124334897
2018,6,124324622
2018,6,124328714
2018,9,124328726
2018,9,124335073
2018,9,124328852
2018,6,124324755
2018,9,124324753
2018,9,124324762
2018,6,124328911
2018,6,124324804
2018,6,124324803
2018,9,124324829
2018,9,124335278
2018,1,124329026
2018,9,124335310
2018,9,124324893
2018,9,124335335
2018,1,124329100
2018,9,124329116
