"2020
rank",City,State[c],"2020
census","2010
census",Change,2016 land area,,2016 population density,,Location,CIT program,Start,Source,Other programs,
68,Pittsburgh,Pennsylvania,"302,971","305,704",−0.89%,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2",40.43°N 79.97°W,,2010,,,
69,St. Louis[m],Missouri,"301,578","319,294",−5.55%,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2",38.63°N 90.24°W,,2004,,,
70,Greensboro,North Carolina,"299,035","269,666",0.1089,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2,36.09°N 79.82°W,,2008,https://greensboro.com/because-of-smith-tragedy-greensboro-police-changes-how-it-handles-mental-health-calls/article_afa32876-2844-11eb-a46d-2394779cc51e.html,S.E.L. Group,2019
71,Jersey City,New Jersey,"292,449","247,597",0.1811,14.8 sq mi,38.3 km2,"17,848/sq mi","6,891/km2",40.71°N 74.06°W,,2007,,,
72,Anchorage[p],Alaska,"291,247","291,826",−0.20%,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2,61.17°N 149.28°W,,2001,,,
73,Lincoln,Nebraska,"291,082","258,379",0.1266,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2",40.81°N 96.68°W,FALSE,,,,
74,Plano,Texas,"285,494","259,841",0.0987,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2",33.05°N 96.74°W,,2009,,,
75,Durham,North Carolina,"283,506","228,330",0.2417,109.8 sq mi,284.4 km2,"2,395/sq mi",925/km2,35.98°N 78.90°W,,2007,,,
76,Buffalo,New York,"278,349","261,310",0.0652,40.4 sq mi,104.6 km2,"6,359/sq mi","2,455/km2",42.89°N 78.85°W,,2016,https://www.news10.com/news/ny-news/suspect-shot-during-mental-health-call-in-buffalo/,,
77,Chandler,Arizona,"275,987","236,123",0.1688,64.9 sq mi,168.1 km2,"3,813/sq mi","1,472/km2",33.28°N 111.85°W,,,,,
78,Chula Vista,California,"275,487","243,916",0.1294,49.6 sq mi,128.5 km2,"5,387/sq mi","2,080/km2",32.62°N 117.01°W,,,,,
79,Toledo,Ohio,"270,871","287,208",−5.69%,80.7 sq mi,209.0 km2,"3,451/sq mi","1,332/km2",41.66°N 83.58°W,TRUE,2019,https://www.sandiegocounty.gov/content/dam/sdc/hhsa/programs/bhs/documents/pert_flyer.pdf,PERT,
80,Madison,Wisconsin,"269,840","233,209",0.1571,77.0 sq mi,199.4 km2,"3,280/sq mi","1,270/km2",43.08°N 89.42°W,Too Early,2001,,,
81,Gilbert[q],Arizona,"267,918","208,453",0.2853,68.0 sq mi,176.1 km2,"3,487/sq mi","1,346/km2",33.31°N 111.74°W,Too Early,2004,,,
82,Reno,Nevada,"264,165","225,221",0.1729,107.3 sq mi,277.9 km2,"2,286/sq mi",883/km2,39.54°N 119.84°W,Too Early,2003,,,
83,Fort Wayne,Indiana,"263,886","253,691",0.0402,110.6 sq mi,286.5 km2,"2,391/sq mi",923/km2,41.08°N 85.14°W,Too Early,2003,,,
84,North Las Vegas,Nevada,"262,527","216,961",0.21,98.0 sq mi,253.8 km2,"2,436/sq mi",941/km2,36.28°N 115.09°W,Too Early,2001,,,
85,St. Petersburg,Florida,"258,308","244,769",0.0553,61.8 sq mi,160.1 km2,"4,223/sq mi","1,631/km2",27.76°N 82.64°W,Too Early,2003,,,
86,Lubbock,Texas,"257,141","229,573",0.1201,124.6 sq mi,322.7 km2,"2,027/sq mi",783/km2,33.56°N 101.88°W,Too Early,1999,,,
87,Irving,Texas,"256,684","216,290",0.1868,67.0 sq mi,173.5 km2,"3,557/sq mi","1,373/km2",32.85°N 96.97°W,TRUE,2018,https://www.lubbockonline.com/news/20181211/lubbock-police-launch-crisis-intervention-team-aimed-at-responding-in-mental-health-situations,,
88,Laredo,Texas,"255,205","236,091",0.081,101.1 sq mi,261.8 km2,"2,544/sq mi",982/km2,27.56°N 99.48°W,TRUE,2020,https://www.cityofirving.org/DocumentCenter/View/45546/Media-Release-08282020---One-Mind-Campaign?bidId=,,
89,Winston–Salem,North Carolina,"249,545","229,617",0.0868,132.5 sq mi,343.2 km2,"1,828/sq mi",706/km2,36.10°N 80.26°W,,,,,
