"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,33109871,1,33131160
2019,33102575,1,33123852
2019,33102582,1,33123860
2019,33102589,1,33131168
2019,33105921,1,33123863
2019,33105919,1,33127145
2019,33109877,1,33131165
2019,33102581,1,33123857
2019,33105936,1,33123879
2019,33102600,1,33123880
2019,33105944,1,33127170
2019,33102605,3,33127171
2019,33109905,1,33127176
2019,33105987,1,33127217
2019,33109953,1,33131232
2019,33109954,1,33131234
2019,33110008,1,33127295
2019,33110019,1,33123986
2019,33110031,1,33131309
2019,33106084,1,33127318
2019,33106088,1,33127322
2019,33106102,1,33131327
2019,33106119,1,33127347
2019,33102737,1,33124019
2019,33110077,1,33131357
2019,33106135,1,33131362
2019,33110088,1,33124038
2019,33105931,1,33127157
2019,33105933,1,33127161
2019,33105932,1,33127160
2019,33105943,1,33127169
2019,33102616,1,33123899
2019,33109915,1,33131194
2019,33109925,1,33131206
2019,33105964,1,33123909
2019,33102626,1,33123906
2019,33109937,1,33127206
2019,33105997,1,33127228
2019,33106010,1,33127241
2019,33109969,1,33131246
2019,33106028,1,33131258
2019,33106038,1,33123958
2019,33109993,1,33127274
2019,33102700,1,33123978
2019,33102705,1,33123985
2019,33106083,1,33127315
2019,33110049,1,33124008
2019,33110057,5,33131338
2019,33106124,1,33127352
2019,33110078,1,33131356
2019,33106137,1,33127365
2019,33110149,1,33131425
2019,33110156,1,33131433
2019,33106231,1,33131442
2019,33106250,1,33127475
2019,33222180,1,33253515
2019,33222181,1,33253516
2019,33224274,1,33255490
2019,33224276,1,33255492
2019,33224279,1,33253524
2019,33228893,1,33260311
2019,33228892,5,33255495
2019,33228897,1,33260314
2019,33222192,1,33253530
2019,33228902,1,33260320
2019,33222197,1,33255500
2019,33222196,1,33253533
2019,33228904,1,33253536
2019,33228906,1,33260322
2019,33222202,1,33253543
2019,33222207,1,33253549
2019,33222208,1,33255506
2019,33224292,1,33255509
2019,33224295,1,33253557
2019,33222215,1,33253555
2019,33224296,1,33260331
2019,33228932,1,33260347
2019,33222254,1,33253593
2019,33222255,1,33253595
2019,33222261,1,33253603
2019,33224322,3,33253602
2019,33228946,1,33260364
2019,33224331,1,33255545
2019,33224339,1,33255553
2019,33228958,1,33260377
2019,33224336,1,33255550
2019,33224341,1,33255554
2019,33224340,1,33253620
2019,35032265,1,35387748
2019,35032266,1,35387749
2019,35032269,1,35387752
